Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037901102,PR0019559,BASKIN ROBBINS,4019 W AVENUE L ,LANCASTER,CA,93536,34.66030089,-118.2018705,94,85340
6037920339,PR0019658,COLD STONE LIMITED -CYCLONE BAY,26101 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,34.4306095,-118.6034336,97,169014
6037236202,PR0019726,JIM GILLIAM COMMUNITY CENTER,4000 S LA BREA AVE ,LOS ANGELES,CA,90008,34.01464599,-118.3552455,91,34796
6037106646,PR0019837,STARBUCKS COFFEE #11895,11850 BALBOA BLVD ,GRANADA HILLS,CA,91344,34.28540104,-118.5012675,97,112471
6037531800,PR0019930,MEMO'S PLACE,5953 E WHITTIER BLVD ,LOS ANGELES,CA,90022,34.01746455,-118.1424004,99,48173
6037503802,PR0019968,LA MIRADA THEATRE,14900 LA MIRADA BLVD ,LA MIRADA,CA,90638,33.89676695,-118.0096244,96,91082
6037901011,PR0020204,STARBUCKS COFFEE #6982,2062 W AVENUE K ,LANCASTER,CA,93536,34.67468568,-118.1679839,92,73226
6037920328,PR0020362,STARBUCKS #9871,25349 WAYNE MILLS PL ,VALENCIA,CA,91355,34.42316486,-118.5789012,96,160150
6037276000,PR0020374,CINEMARK LOWER SATELLITE CONCESSION,6081 CENTER DR STE 201,LOS ANGELES,CA,90045,33.97811062,-118.3924487,100,134892
6037207710,PR0020453,SECOND FLOOR BAR,538 S FLOWER ST,LOS ANGELES,CA,90071,34.05044086,-118.2569291,99,109780
6037701201,PR0020479,PEET'S COFFEE & TEA,1401 MONTANA AVE ,SANTA MONICA,CA,90403,34.03260008,-118.4951253,92,314061
6037461100,PR0020559,ALTADENA SENIOR CENTER,560 E MARIPOSA ST ,ALTADENA,CA,91001,34.18963155,-118.1378719,98,90578
6037191820,PR0020594,STARBUCK COFFEE #2229,727 N VINE ST ,LOS ANGELES,CA,90038,34.08428158,-118.3267859,94,80339
6037480500,PR0020738,STARBUCKS COFFEE #5513,1000 S FAIR OAKS AVE ,SOUTH PASADENA,CA,91030,34.11454375,-118.1499273,97,179407
6037533001,PR0020802,RINCONCITO,1633 E FLORENCE AVE ,LOS ANGELES,CA,90001,33.97493353,-118.2443175,96,45727
6037702201,PR0020858,THE COFFEE SPOT,1900 PICO BLVD ,SANTA MONICA,CA,90405,34.01887547,-118.4703904,94,125742
6037143604,PR0020935,STARBUCKS COFFEE #5734,10965 VENTURA BLVD ,NORTH HOLLYWOOD,CA,91605,34.14063737,-118.369325,97,79678
